# Selection   : all
# Cells       : 100
# Volume      : 1.000000e+00
# Time        	maxMag(p)
0             	0.000000e+00
1             	1.948705e-01
2             	2.786678e-01
3             	3.065873e-01
4             	3.209052e-01
5             	3.308448e-01
6             	3.371076e-01
7             	3.407048e-01
8             	3.428031e-01
9             	3.441363e-01
10            	3.450484e-01
